[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,0,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,1,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,2,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,3,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,4,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,5,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,6,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,7,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,8,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,9,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,10,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,11,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,12,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,13,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,14,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,15,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,16,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,17,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,18,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,19,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,20,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,21,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,22,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,23,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,24,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,25,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,26,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,27,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,28,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,29,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,30,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,31,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,32,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,33,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,34,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,35,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,36,56
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,37,56
