[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,0,64
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,1,63
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,2,63
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,3,63
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,4,63
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,5,61
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,6,61
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,7,61
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,8,58
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,9,58
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,10,55
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,11,55
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,12,52
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,13,50
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,14,49
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,15,49
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,16,49
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,17,49
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,18,49
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,19,48
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,20,46
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,21,46
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,22,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,23,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,24,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,25,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,26,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,27,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,28,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,29,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,30,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,31,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,32,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,33,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,34,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,35,45
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,36,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,37,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,38,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,39,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,40,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,41,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,42,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,43,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,44,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,45,44
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,46,43
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,47,43
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,48,42
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,49,41
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,50,41
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,51,41
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,52,40
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,53,38
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,54,37
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,55,37
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,56,37
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,57,37
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,58,37
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,59,37
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,60,37
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,61,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,62,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,63,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,64,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,65,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,66,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,67,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,68,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,69,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,70,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,71,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,72,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,73,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,74,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,75,36
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,76,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,77,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,78,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,79,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,80,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,81,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,82,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,83,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,84,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,85,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,86,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,87,32
