"export-plot data (NetLogo 6.1.1)"
"TP_modificado.nlogo"
"10/21/2019 06:22:29:269 +0100"

"MODEL SETTINGS"
"energia_inicial","lixo_normal","nassassinos","energ_alimento","alimento","limiteresiduos","ncomiloes","assassinos?","lixo_toxico","mostrarcargadeposito?","nlimpadores","mostra_energia?","n_depositos","mostra_carga?"
"100","12","5","40","15","10","35","true","8","false","32","true","5","true"

"""Populacao"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","480","0","60","true","""default""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","114","404"
"""pen-1""","true","0","1","25","404"
"""pen-2""","true","0","1","5","404"

"""default""",,,,"""pen-1""",,,,"""pen-2"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","114","true","0","0","25","true","0","0","5","true"
"1","33","114","true","1","30","25","true","1","5","5","true"
"2","32","114","true","2","30","25","true","2","5","5","true"
"3","32","114","true","3","30","25","true","3","5","5","true"
"4","32","114","true","4","30","25","true","4","5","5","true"
"5","32","114","true","5","30","25","true","5","5","5","true"
"6","32","114","true","6","30","25","true","6","5","5","true"
"7","32","114","true","7","30","25","true","7","5","5","true"
"8","32","114","true","8","30","25","true","8","5","5","true"
"9","32","114","true","9","30","25","true","9","5","5","true"
"10","32","114","true","10","30","25","true","10","5","5","true"
"11","32","114","true","11","30","25","true","11","5","5","true"
"12","31","114","true","12","30","25","true","12","5","5","true"
"13","31","114","true","13","29","25","true","13","5","5","true"
"14","31","114","true","14","29","25","true","14","5","5","true"
"15","31","114","true","15","29","25","true","15","5","5","true"
"16","31","114","true","16","29","25","true","16","5","5","true"
"17","30","114","true","17","29","25","true","17","5","5","true"
"18","28","114","true","18","29","25","true","18","5","5","true"
"19","28","114","true","19","29","25","true","19","5","5","true"
"20","28","114","true","20","29","25","true","20","5","5","true"
"21","28","114","true","21","29","25","true","21","5","5","true"
"22","28","114","true","22","29","25","true","22","5","5","true"
"23","28","114","true","23","28","25","true","23","5","5","true"
"24","28","114","true","24","28","25","true","24","5","5","true"
"25","27","114","true","25","28","25","true","25","5","5","true"
"26","27","114","true","26","28","25","true","26","5","5","true"
"27","27","114","true","27","28","25","true","27","5","5","true"
"28","27","114","true","28","28","25","true","28","5","5","true"
"29","27","114","true","29","28","25","true","29","5","5","true"
"30","27","114","true","30","27","25","true","30","5","5","true"
"31","27","114","true","31","27","25","true","31","5","5","true"
"32","27","114","true","32","27","25","true","32","5","5","true"
"33","27","114","true","33","26","25","true","33","5","5","true"
"34","27","114","true","34","26","25","true","34","5","5","true"
"35","27","114","true","35","26","25","true","35","5","5","true"
"36","27","114","true","36","26","25","true","36","5","5","true"
"37","27","114","true","37","26","25","true","37","5","5","true"
"38","26","114","true","38","26","25","true","38","5","5","true"
"39","26","114","true","39","26","25","true","39","5","5","true"
"40","25","114","true","40","26","25","true","40","5","5","true"
"41","25","114","true","41","26","25","true","41","5","5","true"
"42","24","114","true","42","26","25","true","42","5","5","true"
"43","24","114","true","43","26","25","true","43","5","5","true"
"44","24","114","true","44","26","25","true","44","5","5","true"
"45","24","114","true","45","26","25","true","45","5","5","true"
"46","24","114","true","46","26","25","true","46","5","5","true"
"47","24","114","true","47","26","25","true","47","5","5","true"
"48","24","114","true","48","24","25","true","48","5","5","true"
"49","24","114","true","49","24","25","true","49","5","5","true"
"50","23","114","true","50","23","25","true","50","5","5","true"
"51","23","114","true","51","22","25","true","51","5","5","true"
"52","23","114","true","52","22","25","true","52","5","5","true"
"53","23","114","true","53","22","25","true","53","5","5","true"
"54","23","114","true","54","22","25","true","54","5","5","true"
"55","23","114","true","55","22","25","true","55","5","5","true"
"56","23","114","true","56","21","25","true","56","5","5","true"
"57","23","114","true","57","21","25","true","57","5","5","true"
"58","23","114","true","58","20","25","true","58","5","5","true"
"59","22","114","true","59","20","25","true","59","5","5","true"
"60","21","114","true","60","19","25","true","60","5","5","true"
"61","20","114","true","61","19","25","true","61","5","5","true"
"62","20","114","true","62","19","25","true","62","5","5","true"
"63","20","114","true","63","19","25","true","63","5","5","true"
"64","19","114","true","64","19","25","true","64","5","5","true"
"65","19","114","true","65","19","25","true","65","5","5","true"
"66","19","114","true","66","18","25","true","66","5","5","true"
"67","19","114","true","67","18","25","true","67","5","5","true"
"68","19","114","true","68","18","25","true","68","5","5","true"
"69","18","114","true","69","16","25","true","69","5","5","true"
"70","18","114","true","70","16","25","true","70","5","5","true"
"71","18","114","true","71","16","25","true","71","5","5","true"
"72","18","114","true","72","16","25","true","72","5","5","true"
"73","18","114","true","73","15","25","true","73","5","5","true"
"74","18","114","true","74","15","25","true","74","5","5","true"
"75","18","114","true","75","15","25","true","75","5","5","true"
"76","18","114","true","76","15","25","true","76","5","5","true"
"77","18","114","true","77","15","25","true","77","4","5","true"
"78","17","114","true","78","15","25","true","78","4","5","true"
"79","16","114","true","79","15","25","true","79","4","5","true"
"80","14","114","true","80","15","25","true","80","4","5","true"
"81","14","114","true","81","15","25","true","81","3","5","true"
"82","14","114","true","82","15","25","true","82","3","5","true"
"83","14","114","true","83","15","25","true","83","3","5","true"
"84","14","114","true","84","15","25","true","84","3","5","true"
"85","14","114","true","85","15","25","true","85","3","5","true"
"86","14","114","true","86","15","25","true","86","2","5","true"
"87","14","114","true","87","15","25","true","87","2","5","true"
"88","14","114","true","88","15","25","true","88","2","5","true"
"89","14","114","true","89","15","25","true","89","2","5","true"
"90","14","114","true","90","15","25","true","90","2","5","true"
"91","14","114","true","91","15","25","true","91","2","5","true"
"92","12","114","true","92","15","25","true","92","2","5","true"
"93","12","114","true","93","15","25","true","93","2","5","true"
"94","11","114","true","94","14","25","true","94","2","5","true"
"95","10","114","true","95","14","25","true","95","2","5","true"
"96","10","114","true","96","14","25","true","96","2","5","true"
"97","10","114","true","97","14","25","true","97","2","5","true"
"98","10","114","true","98","14","25","true","98","2","5","true"
"99","9","114","true","99","14","25","true","99","2","5","true"
"100","9","114","true","100","14","25","true","100","2","5","true"
"101","9","114","true","101","14","25","true","101","2","5","true"
"102","8","114","true","102","14","25","true","102","2","5","true"
"103","8","114","true","103","13","25","true","103","2","5","true"
"104","8","114","true","104","13","25","true","104","2","5","true"
"105","8","114","true","105","13","25","true","105","2","5","true"
"106","8","114","true","106","13","25","true","106","2","5","true"
"107","8","114","true","107","13","25","true","107","2","5","true"
"108","8","114","true","108","13","25","true","108","2","5","true"
"109","8","114","true","109","13","25","true","109","2","5","true"
